(-5, -5)
(0.0294, 0.984)
(0.0304, 0.9482)
(0.0316, 0.9035)
(0.0325, 0.8676)
(0.0334, 0.8318)
(0.0346, 0.7871)
(0.0355, 0.7512)
(0.0367, 0.7064)
(0.0376, 0.6706)
(0.034, 0.6422)
(0.017, 0.6158)
(0.0129, 0.587)
(-5, -5)
(0.0547, 0.993)
(0.0478, 0.9679)
(0.0447, 0.9322)
(0.0408, 0.8875)
(0.0376, 0.8519)
(0.0349, 0.8184)
(0.0346, 0.7735)
(0.0342, 0.7378)
(0.0338, 0.693)
(0.0335, 0.6571)
(0.033, 0.6124)
(0.0327, 0.5765)
(0.0323, 0.5316)
(0.032, 0.4959)
(0.0316, 0.4511)
(0.0313, 0.4152)
(0.0308, 0.3704)
(0.0305, 0.3346)
(0.0301, 0.2897)
(0.0297, 0.2539)
(0.0294, 0.2182)
(0.029, 0.1733)
(0.0287, 0.1374)
(0.0282, 0.0927)
(0.0279, 0.0568)
(0.0275, 0.012)
(0.0289, -0.0214)
(0.0201, -0.0515)
(0.016, -0.0803)
(0.0115, -0.1169)
(-5, -5)
(-0.0841, 0.9852)
(-0.0679, 0.9483)
(-0.0607, 0.9239)
(-0.0543, 0.8887)
(-0.046, 0.847)
(-0.0409, 0.8275)
(-0.0334, 0.803)
(-0.015, 0.7723)
(-0.0139, 0.7456)
(-0.0129, 0.7153)
(-0.0123, 0.6783)
(-0.0113, 0.6482)
(-0.0105, 0.6113)
(-5, -5)
(0.03, 0.9901)
(0.0317, 0.9476)
(0.0335, 0.9118)
(0.028, 0.8902)
(0.0207, 0.8597)
(0.0159, 0.8311)
(0.0114, 0.7945)
(-5, -5)
(0.0609, 0.9979)
(0.0552, 0.9716)
(0.0497, 0.9386)
(0.0437, 0.8942)
(0.0408, 0.8606)
(0.0383, 0.816)
(0.0362, 0.7802)
(0.0337, 0.7354)
(0.0321, 0.7019)
(0.033, 0.6572)
(0.0339, 0.6213)
(0.0346, 0.5854)
(0.0356, 0.5407)
(0.0364, 0.5048)
(0.0374, 0.46)
(0.0381, 0.4243)
(0.0344, 0.3959)
(0.0211, 0.3752)
(0.0151, 0.3399)
(0.0113, 0.3115)
(-5, -5)
(-0.0937, 0.9965)
(-0.0931, 0.9921)
(-0.0787, 0.9546)
(-0.0658, 0.9299)
(-0.0547, 0.8987)
(-0.0485, 0.8634)
(-0.0413, 0.8365)
(-0.0358, 0.8126)
(-0.0234, 0.7889)
(-0.0176, 0.7623)
(-0.0156, 0.7322)
(-0.0135, 0.6953)
(-0.0125, 0.6651)
(-0.0118, 0.627)
(-0.0112, 0.5979)
(-5, -5)
(-0.0604, 0.998)
(-0.0604, 0.9979)
(-0.0539, 0.9535)
(-0.0488, 0.918)
(-0.0436, 0.8826)
(-0.0368, 0.8544)
(-0.0209, 0.8273)
(-0.0152, 0.7995)
(-0.0144, 0.7705)
(-0.0124, 0.7324)
(-0.0117, 0.7032)
(-0.0106, 0.6652)
(-5, -5)
(0.0562, 0.9814)
(0.0484, 0.9395)
(0.0445, 0.9039)
(0.0396, 0.8595)
(0.0382, 0.8258)
(0.0368, 0.781)
(0.0356, 0.7453)
(0.0345, 0.7094)
(0.033, 0.6646)
(0.0319, 0.6288)
(0.0304, 0.5841)
(0.0293, 0.5482)
(0.0303, 0.5057)
(0.032, 0.47)
(0.0341, 0.4251)
(0.0329, 0.401)
(0.0266, 0.3727)
(0.0168, 0.3383)
(0.0139, 0.3115)
(0.0101, 0.2816)
(-5, -5)
(-0.0893, 0.9932)
(-0.0743, 0.9571)
(-0.0642, 0.9371)
(-0.0567, 0.8929)
(-0.0509, 0.8576)
(-0.0432, 0.8157)
(-0.0384, 0.7963)
(-0.0318, 0.7714)
(-0.0233, 0.7534)
(-0.0169, 0.7293)
(-0.0151, 0.6992)
(-0.0135, 0.6611)
(-0.0131, 0.632)
(-0.0115, 0.5941)
(-0.0109, 0.565)
(-5, -5)
(0.0602, 0.9979)
(0.0572, 0.9872)
(0.0509, 0.9521)
(0.045, 0.9099)
(0.0414, 0.8742)
(0.037, 0.8297)
(0.036, 0.7961)
(0.0351, 0.7512)
(0.0343, 0.7155)
(0.0334, 0.6707)
(0.0326, 0.6348)
(0.0317, 0.59)
(0.031, 0.5543)
(0.0302, 0.5184)
(0.0293, 0.4736)
(0.0286, 0.4378)
(0.0276, 0.393)
(0.027, 0.3661)
(0.0175, 0.3295)
(0.0137, 0.2996)
(-5, -5)
(-0.03, 0.9984)
(-0.0275, 0.9865)
(-0.0188, 0.9662)
(-0.0175, 0.9394)
(-0.0153, 0.9026)
(-0.0138, 0.8724)
(-0.0124, 0.8355)
(-0.011, 0.8053)
(-0.0108, 0.7751)
(-0.0109, 0.7381)
(-5, -5)
(-0.0588, 0.9967)
(-0.0507, 0.9702)
(-0.0458, 0.951)
(-0.041, 0.9064)
(-0.0367, 0.873)
(-0.0226, 0.8418)
(-0.0169, 0.8219)
(-0.0142, 0.785)
(-0.0131, 0.7547)
(-0.0122, 0.7178)
(-0.0112, 0.6877)
(-0.0104, 0.6574)
(-5, -5)
(0.0233, 0.985)
(0.017, 0.9582)
(0.0121, 0.9216)
(-5, -5)
(-0.0606, 0.9982)
(-0.0574, 0.9806)
(-0.0506, 0.9454)
(-0.0439, 0.9171)
(-0.0386, 0.8896)
(-0.0246, 0.8618)
(-0.0188, 0.8419)
(-0.016, 0.805)
(-0.0149, 0.7748)
(-0.0139, 0.7379)
(-0.0127, 0.7077)
(-0.0119, 0.6774)
(-0.0106, 0.6405)
(-5, -5)
(-0.0203, 0.9815)
(-0.0182, 0.9481)
(-0.0164, 0.9179)
(-0.0146, 0.8798)
(-0.0131, 0.851)
(-0.012, 0.8129)
(-0.0118, 0.7827)
(-0.0112, 0.7458)
(-0.0108, 0.7157)
(-5, -5)
(0.0918, 0.9859)
(0.0851, 0.9625)
(0.0757, 0.9339)
(0.0689, 0.9126)
(0.0609, 0.8835)
(0.0517, 0.8397)
(0.0473, 0.8064)
(0.0418, 0.7619)
(0.0392, 0.7284)
(0.0371, 0.6837)
(0.0355, 0.6479)
(0.0334, 0.6031)
(0.0318, 0.5673)
(0.0301, 0.5248)
(0.0313, 0.489)
(0.0327, 0.4442)
(0.034, 0.4084)
(0.0352, 0.3726)
(0.0366, 0.3278)
(0.0329, 0.3086)
(0.0178, 0.2815)
(0.0138, 0.2526)
(-5, -5)
(0.0899, 0.9987)
(0.0799, 0.9778)
