(-5, -5)
(0.0512, 0.9791)
(0.0405, 0.9524)
(0.0249, 0.9142)
(0.017, 0.8993)
(-5, -5)
(-0.0596, 0.9976)
(-0.0557, 0.9697)
(-0.0523, 0.9422)
(-0.0497, 0.9065)
(-0.0482, 0.8785)
(-0.0456, 0.8428)
(-0.0433, 0.8116)
(-0.042, 0.7759)
(-0.041, 0.7479)
(-0.0398, 0.7121)
(-0.039, 0.6842)
(-0.0378, 0.6485)
(-0.0373, 0.6204)
(-0.0362, 0.5891)
(-0.0359, 0.5603)
(-0.0363, 0.5324)
(-0.0363, 0.4965)
(-0.0362, 0.4651)
(-0.036, 0.4296)
(-0.0353, 0.4016)
(-0.0351, 0.3657)
(-0.0348, 0.3378)
(-0.0345, 0.3021)
(-0.0344, 0.2741)
(-0.0342, 0.2382)
(-0.0345, 0.2104)
(-0.034, 0.1747)
(-0.0344, 0.1501)
(-0.0343, 0.1221)
(-0.0339, 0.0863)
(-0.034, 0.0584)
(-0.0336, 0.0226)
(-0.0332, -0.0088)
(-0.0336, -0.0379)
(-0.0335, -0.0657)
(-0.0335, -0.0982)
(-0.0342, -0.1262)
(-0.0353, -0.1552)
(-0.0354, -0.1831)
(-0.035, -0.2189)
(-0.0346, -0.2502)
(-0.0338, -0.2783)
(-0.0334, -0.3139)
(-0.0342, -0.3385)
(-0.0345, -0.371)
(-0.0341, -0.4023)
(-0.0344, -0.431)
(-0.0343, -0.4556)
(-0.0348, -0.4914)
(-0.0351, -0.5194)
(-0.0347, -0.5481)
(-0.0347, -0.5793)
(-0.0348, -0.6151)
(-0.0344, -0.6432)
(-0.0344, -0.679)
(-0.0343, -0.7069)
(-0.0345, -0.7348)
(-0.0346, -0.7707)
(-0.0351, -0.7983)
(-0.0347, -0.834)
(-0.0343, -0.8654)
(-0.034, -0.9012)
(-0.0332, -0.9292)
(-0.0328, -0.9649)
(-0.0337, -0.9895)
(-0.0341, -1.022)
(-0.0347, -1.0466)
(-0.0343, -1.0823)
(-0.0342, -1.1103)
(-0.0345, -1.1383)
(-0.0342, -1.1738)
(-0.0344, -1.1983)
(-0.0351, -1.2307)
(-0.0278, -1.2506)
(-0.0133, -1.277)
(-5, -5)
(-0.0599, 0.9984)
(-0.0534, 0.9634)
(-0.0507, 0.9356)
(-0.0486, 0.8999)
(-0.0467, 0.8687)
(-0.0446, 0.833)
